"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","RSI ‌rsi‌ (14)"
"Mon Sep 05 2022 11:10:00 GMT+0530 (India Standard Time)","17643.00","17643.35","17625.95","17633.35","-0.05","-0.05","0","17603.64","17595.23","17595.07","53.31"
"Mon Sep 05 2022 11:15:00 GMT+0530 (India Standard Time)","17631.55","17634.30","17623.75","17624.70","-0.05","-0.05","0","17604.43","17595.15","17595.07","49.99"
"Mon Sep 05 2022 11:20:00 GMT+0530 (India Standard Time)","17624.95","17630.95","17622.50","17629.75","0.03","0.03","0","17605.30","17595.11","17595.07","51.88"
"Mon Sep 05 2022 11:25:00 GMT+0530 (India Standard Time)","17629.15","17634.75","17618.75","17625.15","-0.03","-0.03","0","17606.00","17594.96","17595.07","50.03"
"Mon Sep 05 2022 11:30:00 GMT+0530 (India Standard Time)","17625.45","17627.85","17619.10","17627.45","0.01","0.01","0","17606.90","17594.82","17595.07","50.97"
"Mon Sep 05 2022 11:35:00 GMT+0530 (India Standard Time)","17628.20","17631.75","17625.35","17627.45","0","0","0","17607.86","17594.61","17595.07","50.97"
"Mon Sep 05 2022 11:40:00 GMT+0530 (India Standard Time)","17626.90","17638.30","17625.50","17633.95","0.04","0.04","0","17608.69","17594.45","17595.07","53.82"
"Mon Sep 05 2022 11:45:00 GMT+0530 (India Standard Time)","17633.70","17643.65","17631.75","17642.25","0.05","0.05","0","17609.76","17594.41","17595.07","57.24"
"Mon Sep 05 2022 11:50:00 GMT+0530 (India Standard Time)","17641.80","17645.20","17639.85","17643.10","0","0","0","17610.77","17594.33","17595.07","57.58"
"Mon Sep 05 2022 11:55:00 GMT+0530 (India Standard Time)","17643.00","17646.25","17639.95","17641.85","-0.01","-0.01","0","17611.44","17594.24","17596.80","56.85"
"Mon Sep 05 2022 12:00:00 GMT+0530 (India Standard Time)","17642.95","17649.40","17638.70","17643.95","0.01","0.01","0","17612.02","17594.19","17596.86","57.82"
"Mon Sep 05 2022 12:05:00 GMT+0530 (India Standard Time)","17642.85","17649.65","17638.90","17649.65","0.03","0.03","0","17612.75","17594.12","17599.57","60.41"
"Mon Sep 05 2022 12:10:00 GMT+0530 (India Standard Time)","17648.95","17662.00","17648.95","17660.00","0.06","0.06","0","17613.68","17594.01","17605.85","64.65"
"Mon Sep 05 2022 12:15:00 GMT+0530 (India Standard Time)","17658.75","17668.65","17656.45","17667.70","0.04","0.04","0","17614.97","17593.95","17616.42","67.45"
"Mon Sep 05 2022 12:20:00 GMT+0530 (India Standard Time)","17668.25","17678.25","17667.70","17670.95","0.02","0.02","0","17616.23","17593.86","17624.45","68.58"
"Mon Sep 05 2022 12:25:00 GMT+0530 (India Standard Time)","17671.35","17673.90","17664.90","17666.60","-0.02","-0.02","0","17617.93","17593.72","17628.25","65.31"
"Mon Sep 05 2022 12:30:00 GMT+0530 (India Standard Time)","17665.85","17680.30","17664.45","17673.15","0.04","0.04","0","17620.01","17593.66","17628.25","67.80"
"Mon Sep 05 2022 12:35:00 GMT+0530 (India Standard Time)","17673.90","17674.35","17664.65","17673.90","0","0","0","17622.17","17593.56","17630.93","68.08"
"Mon Sep 05 2022 12:40:00 GMT+0530 (India Standard Time)","17673.50","17676.35","17670.10","17672.25","-0.01","-0.01","0","17624.45","17593.47","17632.31","66.70"
"Mon Sep 05 2022 12:45:00 GMT+0530 (India Standard Time)","17671.30","17681.20","17668.55","17677.65","0.03","0.03","0","17627.06","17593.30","17632.31","68.93"
"Mon Sep 05 2022 12:50:00 GMT+0530 (India Standard Time)","17677.15","17678.40","17657.55","17658.15","-0.11","-0.11","0","17629.32","17593.08","17637.27","54.69"
"Mon Sep 05 2022 12:55:00 GMT+0530 (India Standard Time)","17657.40","17665.00","17655.00","17657.10","-0.01","-0.01","0","17631.82","17592.56","17637.27","54.05"
"Mon Sep 05 2022 13:00:00 GMT+0530 (India Standard Time)","17656.70","17669.40","17656.70","17664.30","0.04","0.04","0","17634.30","17592.02","17637.27","57.74"
"Mon Sep 05 2022 13:05:00 GMT+0530 (India Standard Time)","17664.75","17669.70","17657.45","17657.45","-0.04","-0.04","0","17636.43","17591.49","17637.27","53.35"
"Mon Sep 05 2022 13:10:00 GMT+0530 (India Standard Time)","17657.75","17660.60","17647.35","17650.45","-0.04","-0.04","0","17638.70","17590.90","17637.27","49.22"
"Mon Sep 05 2022 13:15:00 GMT+0530 (India Standard Time)","17650.55","17653.40","17644.50","17645.30","-0.03","-0.03","0","17640.82","17590.26","17637.27","46.39"
"Mon Sep 05 2022 13:20:00 GMT+0530 (India Standard Time)","17644.85","17648.80","17637.20","17640.00","-0.03","-0.03","0","17643.06","17589.74","17637.27","43.60"
"Mon Sep 05 2022 13:25:00 GMT+0530 (India Standard Time)","17639.95","17655.45","17638.85","17654.70","0.08","0.08","0","17643.91","17590.25","17637.27","52.18"
