Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,"MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)",RSI ‌rsi‌ (14),Day,Month,Dt,Year,Time,OpenClose,HighLow
Mon Oct 03 2022 09:25:00 GMT+0530 (India Standard Time),17095.9,17106.8,17037.8,17039.45,-0.31,-0.31,0,17083.42,16952.51,17136.59,37.46,Mon,Oct,03,2022,09:25:00,-0.3313,-0.405
Mon Oct 03 2022 09:30:00 GMT+0530 (India Standard Time),17033.65,17061.85,17012.7,17017.9,-0.13,-0.13,0,17084.6,16952.62,17129.05,34.29,Mon,Oct,03,2022,09:30:00,-0.0925,-0.2889
Mon Oct 03 2022 09:35:00 GMT+0530 (India Standard Time),17018.5,17027.95,16986.0,16986.65,-0.18,-0.18,0,17084.95,16952.55,17110.25,30.29,Mon,Oct,03,2022,09:35:00,-0.1875,-0.247
Mon Oct 03 2022 09:40:00 GMT+0530 (India Standard Time),16983.95,17015.05,16975.95,16991.3,0.03,0.03,0,17085.57,16952.57,17080.6,31.57,Mon,Oct,03,2022,09:40:00,0.0433,-0.2303
Mon Oct 03 2022 09:45:00 GMT+0530 (India Standard Time),16991.45,17027.45,16976.25,17016.2,0.15,0.15,0,17086.66,16952.57,17080.6,38.12,Mon,Oct,03,2022,09:45:00,0.1454,-0.3016
Mon Oct 03 2022 09:50:00 GMT+0530 (India Standard Time),17016.25,17027.4,17002.95,17005.2,-0.06,-0.06,0,17087.07,16952.49,17080.6,36.46,Mon,Oct,03,2022,09:50:00,-0.065,-0.1438
Mon Oct 03 2022 09:55:00 GMT+0530 (India Standard Time),17004.95,17004.95,16979.8,16980.75,-0.14,-0.14,0,17086.8,16952.26,17080.6,33.02,Mon,Oct,03,2022,09:55:00,-0.1425,-0.1481
Mon Oct 03 2022 10:00:00 GMT+0530 (India Standard Time),16980.2,16988.35,16948.0,16961.35,-0.11,-0.11,0,17086.19,16951.95,17076.46,30.55,Mon,Oct,03,2022,10:00:00,-0.1111,-0.2381
Mon Oct 03 2022 10:05:00 GMT+0530 (India Standard Time),16961.3,16974.4,16954.35,16966.55,0.03,0.03,0,17085.63,16951.67,17058.26,32.02,Mon,Oct,03,2022,10:05:00,0.0309,-0.1183
Mon Oct 03 2022 10:10:00 GMT+0530 (India Standard Time),16966.0,16985.5,16951.55,16979.35,0.08,0.08,0,17085.17,16951.58,17058.26,35.62,Mon,Oct,03,2022,10:10:00,0.0786,-0.2003
Mon Oct 03 2022 10:15:00 GMT+0530 (India Standard Time),16979.6,16979.6,16956.55,16975.3,-0.02,-0.02,0,17084.28,16951.5,17058.26,34.99,Mon,Oct,03,2022,10:15:00,-0.0253,-0.1359
Mon Oct 03 2022 10:20:00 GMT+0530 (India Standard Time),16974.1,17002.45,16973.45,16995.3,0.12,0.12,0,17083.59,16951.53,17058.26,40.59,Mon,Oct,03,2022,10:20:00,0.1247,-0.1709
Mon Oct 03 2022 10:25:00 GMT+0530 (India Standard Time),16994.9,16996.2,16965.45,16965.75,-0.17,-0.17,0,17081.87,16951.32,17058.26,35.69,Mon,Oct,03,2022,10:25:00,-0.1718,-0.1813
Mon Oct 03 2022 10:30:00 GMT+0530 (India Standard Time),16964.05,16971.45,16958.35,16966.75,0.01,0.01,0,17079.52,16951.15,17058.26,35.98,Mon,Oct,03,2022,10:30:00,0.0159,-0.0772
Mon Oct 03 2022 10:35:00 GMT+0530 (India Standard Time),16966.65,16977.15,16956.6,16969.85,0.02,0.02,0,17077.17,16951.06,17057.96,36.9,Mon,Oct,03,2022,10:35:00,0.0189,-0.1212
Mon Oct 03 2022 10:40:00 GMT+0530 (India Standard Time),16969.05,16973.25,16958.95,16968.7,-0.01,-0.01,0,17075.0,16951.02,17057.96,36.69,Mon,Oct,03,2022,10:40:00,-0.0021,-0.0843
Mon Oct 03 2022 10:45:00 GMT+0530 (India Standard Time),16968.5,16975.85,16962.8,16969.8,0.01,0.01,0,17072.39,16951.01,17056.27,37.06,Mon,Oct,03,2022,10:45:00,0.0077,-0.0769
Mon Oct 03 2022 10:50:00 GMT+0530 (India Standard Time),16969.95,16971.1,16962.7,16969.1,0.0,0.0,0,17069.97,16950.96,17055.06,36.91,Mon,Oct,03,2022,10:50:00,-0.005,-0.0495
Mon Oct 03 2022 10:55:00 GMT+0530 (India Standard Time),16969.35,16975.6,16964.9,16964.9,-0.02,-0.02,0,17067.41,16950.9,17051.5,35.98,Mon,Oct,03,2022,10:55:00,-0.0262,-0.0631
Mon Oct 03 2022 11:00:00 GMT+0530 (India Standard Time),16964.2,16964.2,16946.35,16958.1,-0.04,-0.04,0,17064.54,16950.85,17044.91,34.47,Mon,Oct,03,2022,11:00:00,-0.036,-0.1053
